op1,op2,repetition,seed,a,b,NombreReussites,NombreEssais,PourcentageReussites
(x + y) + z,x + (y + z),50,0,20,10000,40,50,80.0
(x + y) + z,x + (y + z),50,0,50,100,36,50,72.0
(x + y) + z,x + (y + z),50,0,50,10000,40,50,80.0
(x + y) + z,x + (y + z),50,0,100,10000,35,50,70.0
(x + y) + z,x + (y + z),100,0,-1,1,100,100,100.0
(x + y) + z,x + (y + z),100,0,-1,5,85,100,85.0
(x + y) + z,x + (y + z),100,0,-1,10,77,100,77.0
(x + y) + z,x + (y + z),100,0,-1,20,78,100,78.0
(x + y) + z,x + (y + z),100,0,-1,50,72,100,72.0
(x + y) + z,x + (y + z),100,0,-1,100,65,100,65.0
(x + y) + z,x + (y + z),100,0,-1,10000,70,100,70.0
(x + y) + z,x + (y + z),100,0,0,1,85,100,85.0
(x + y) + z,x + (y + z),100,0,0,5,76,100,76.0
(x + y) + z,x + (y + z),100,0,0,10,76,100,76.0
(x + y) + z,x + (y + z),100,0,0,20,76,100,76.0
(x + y) + z,x + (y + z),100,0,0,50,81,100,81.0
(x + y) + z,x + (y + z),100,0,0,100,81,100,81.0
(x + y) + z,x + (y + z),100,0,0,10000,77,100,77.0
(x + y) + z,x + (y + z),100,0,1,5,82,100,82.0
(x + y) + z,x + (y + z),100,0,1,10,80,100,80.0
(x + y) + z,x + (y + z),100,0,1,20,68,100,68.0
(x + y) + z,x + (y + z),100,0,1,50,81,100,81.0
(x + y) + z,x + (y + z),100,0,1,100,67,100,67.0
(x + y) + z,x + (y + z),100,0,1,10000,77,100,77.0
(x + y) + z,x + (y + z),100,0,10,20,89,100,89.0
(x + y) + z,x + (y + z),100,0,10,50,77,100,77.0
(x + y) + z,x + (y + z),100,0,10,100,77,100,77.0
(x + y) + z,x + (y + z),100,0,10,10000,80,100,80.0
(x + y) + z,x + (y + z),100,0,20,50,72,100,72.0
(x + y) + z,x + (y + z),100,0,20,100,77,100,77.0
(x + y) + z,x + (y + z),100,0,20,10000,78,100,78.0
(x + y) + z,x + (y + z),100,0,50,100,74,100,74.0
(x + y) + z,x + (y + z),100,0,50,10000,80,100,80.0
(x + y) + z,x + (y + z),100,0,100,10000,75,100,75.0
(x + y) + z,x + (y + z),500,0,-1,1,500,500,100.0
(x + y) + z,x + (y + z),500,0,-1,5,425,500,85.0
(x + y) + z,x + (y + z),500,0,-1,10,401,500,80.2
(x + y) + z,x + (y + z),500,0,-1,20,385,500,77.0
(x + y) + z,x + (y + z),500,0,-1,50,380,500,76.0
(x + y) + z,x + (y + z),500,0,-1,100,364,500,72.8
(x + y) + z,x + (y + z),500,0,-1,10000,382,500,76.4
(x + y) + z,x + (y + z),500,0,0,1,427,500,85.39999999999999
(x + y) + z,x + (y + z),500,0,0,5,379,500,75.8
(x + y) + z,x + (y + z),500,0,0,10,379,500,75.8
(x + y) + z,x + (y + z),500,0,0,20,379,500,75.8
(x + y) + z,x + (y + z),500,0,0,50,391,500,78.2
(x + y) + z,x + (y + z),500,0,0,100,391,500,78.2
(x + y) + z,x + (y + z),500,0,0,10000,392,500,78.4
(x + y) + z,x + (y + z),500,0,1,5,416,500,83.2
(x + y) + z,x + (y + z),500,0,1,10,391,500,78.2
(x + y) + z,x + (y + z),500,0,1,20,379,500,75.8
(x + y) + z,x + (y + z),500,0,1,50,373,500,74.6
(x + y) + z,x + (y + z),500,0,1,100,368,500,73.6
(x + y) + z,x + (y + z),500,0,1,10000,393,500,78.60000000000001
(x + y) + z,x + (y + z),500,0,10,20,404,500,80.80000000000001
(x + y) + z,x + (y + z),500,0,10,50,372,500,74.4
(x + y) + z,x + (y + z),500,0,10,100,364,500,72.8
(x + y) + z,x + (y + z),500,0,10,10000,388,500,77.60000000000001
(x + y) + z,x + (y + z),500,0,20,50,384,500,76.8
(x + y) + z,x + (y + z),500,0,20,100,372,500,74.4
(x + y) + z,x + (y + z),500,0,20,10000,378,500,75.6
(x + y) + z,x + (y + z),500,0,50,100,364,500,72.8
(x + y) + z,x + (y + z),500,0,50,10000,391,500,78.2
(x + y) + z,x + (y + z),500,0,100,10000,386,500,77.2
(x + y) + z,x + (y + z),1000,0,-1,1,1000,1000,100.0
(x + y) + z,x + (y + z),1000,0,-1,5,871,1000,87.1
(x + y) + z,x + (y + z),1000,0,-1,10,789,1000,78.9
(x + y) + z,x + (y + z),1000,0,-1,20,761,1000,76.1
(x + y) + z,x + (y + z),1000,0,-1,50,745,1000,74.5
(x + y) + z,x + (y + z),1000,0,-1,100,726,1000,72.6
(x + y) + z,x + (y + z),1000,0,-1,10000,755,1000,75.5
(x + y) + z,x + (y + z),1000,0,0,1,843,1000,84.3
(x + y) + z,x + (y + z),1000,0,0,5,760,1000,76.0
(x + y) + z,x + (y + z),1000,0,0,10,760,1000,76.0
(x + y) + z,x + (y + z),1000,0,0,20,760,1000,76.0
(x + y) + z,x + (y + z),1000,0,0,50,764,1000,76.4
(x + y) + z,x + (y + z),1000,0,0,100,764,1000,76.4
(x + y) + z,x + (y + z),1000,0,0,10000,765,1000,76.5
(x + y) + z,x + (y + z),1000,0,1,5,813,1000,81.3
(x + y) + z,x + (y + z),1000,0,1,10,780,1000,78.0
(x + y) + z,x + (y + z),1000,0,1,20,763,1000,76.3
(x + y) + z,x + (y + z),1000,0,1,50,747,1000,74.7
(x + y) + z,x + (y + z),1000,0,1,100,750,1000,75.0
(x + y) + z,x + (y + z),1000,0,1,10000,777,1000,77.7
(x + y) + z,x + (y + z),1000,0,10,20,809,1000,80.9
(x + y) + z,x + (y + z),1000,0,10,50,760,1000,76.0
(x + y) + z,x + (y + z),1000,0,10,100,753,1000,75.3
(x + y) + z,x + (y + z),1000,0,10,10000,747,1000,74.7
(x + y) + z,x + (y + z),1000,0,20,50,760,1000,76.0
(x + y) + z,x + (y + z),1000,0,20,100,760,1000,76.0
(x + y) + z,x + (y + z),1000,0,20,10000,753,1000,75.3
(x + y) + z,x + (y + z),1000,0,50,100,717,1000,71.7
(x + y) + z,x + (y + z),1000,0,50,10000,770,1000,77.0
(x + y) + z,x + (y + z),1000,0,100,10000,785,1000,78.5
(x + y) + z,x + (y + z),2000,0,-1,1,2000,2000,100.0
(x + y) + z,x + (y + z),2000,0,-1,5,1723,2000,86.15
(x + y) + z,x + (y + z),2000,0,-1,10,1569,2000,78.45
(x + y) + z,x + (y + z),2000,0,-1,20,1499,2000,74.95
(x + y) + z,x + (y + z),2000,0,-1,50,1476,2000,73.8
(x + y) + z,x + (y + z),2000,0,-1,100,1473,2000,73.65
(x + y) + z,x + (y + z),2000,0,-1,10000,1518,2000,75.9
(x + y) + z,x + (y + z),2000,0,0,1,1685,2000,84.25
(x + y) + z,x + (y + z),2000,0,0,5,1533,2000,76.64999999999999
(x + y) + z,x + (y + z),2000,0,0,10,1533,2000,76.64999999999999
(x + y) + z,x + (y + z),2000,0,0,20,1533,2000,76.64999999999999
(x + y) + z,x + (y + z),2000,0,0,50,1507,2000,75.35
(x + y) + z,x + (y + z),2000,0,0,100,1507,2000,75.35
(x + y) + z,x + (y + z),2000,0,0,10000,1530,2000,76.5
(x + y) + z,x + (y + z),2000,0,1,5,1621,2000,81.05
(x + y) + z,x + (y + z),2000,0,1,10,1539,2000,76.95
(x + y) + z,x + (y + z),2000,0,1,20,1514,2000,75.7
(x + y) + z,x + (y + z),2000,0,1,50,1491,2000,74.55000000000001
(x + y) + z,x + (y + z),2000,0,1,100,1466,2000,73.3
(x + y) + z,x + (y + z),2000,0,1,10000,1531,2000,76.55
(x + y) + z,x + (y + z),2000,0,10,20,1598,2000,79.9
(x + y) + z,x + (y + z),2000,0,10,50,1509,2000,75.44999999999999
(x + y) + z,x + (y + z),2000,0,10,100,1516,2000,75.8
(x + y) + z,x + (y + z),2000,0,10,10000,1526,2000,76.3
(x + y) + z,x + (y + z),2000,0,20,50,1510,2000,75.5
(x + y) + z,x + (y + z),2000,0,20,100,1509,2000,75.44999999999999
(x + y) + z,x + (y + z),2000,0,20,10000,1518,2000,75.9
(x + y) + z,x + (y + z),2000,0,50,100,1436,2000,71.8
(x + y) + z,x + (y + z),2000,0,50,10000,1517,2000,75.85
(x + y) + z,x + (y + z),2000,0,100,10000,1531,2000,76.55
(x + y) + z,x + (y + z),5000,0,-1,1,5000,5000,100.0
(x + y) + z,x + (y + z),5000,0,-1,5,4288,5000,85.76
(x + y) + z,x + (y + z),5000,0,-1,10,3920,5000,78.4
(x + y) + z,x + (y + z),5000,0,-1,20,3814,5000,76.28
(x + y) + z,x + (y + z),5000,0,-1,50,3729,5000,74.58
(x + y) + z,x + (y + z),5000,0,-1,100,3676,5000,73.52
(x + y) + z,x + (y + z),5000,0,-1,10000,3803,5000,76.06
(x + y) + z,x + (y + z),5000,0,0,1,4176,5000,83.52000000000001
(x + y) + z,x + (y + z),5000,0,0,5,3831,5000,76.62
(x + y) + z,x + (y + z),5000,0,0,10,3831,5000,76.62
(x + y) + z,x + (y + z),5000,0,0,20,3831,5000,76.62
(x + y) + z,x + (y + z),5000,0,0,50,3772,5000,75.44
(x + y) + z,x + (y + z),5000,0,0,100,3772,5000,75.44
(x + y) + z,x + (y + z),5000,0,0,10000,3790,5000,75.8
(x + y) + z,x + (y + z),5000,0,1,5,4034,5000,80.67999999999999
(x + y) + z,x + (y + z),5000,0,1,10,3865,5000,77.3
(x + y) + z,x + (y + z),5000,0,1,20,3783,5000,75.66000000000001
(x + y) + z,x + (y + z),5000,0,1,50,3741,5000,74.82
(x + y) + z,x + (y + z),5000,0,1,100,3753,5000,75.06
(x + y) + z,x + (y + z),5000,0,1,10000,3807,5000,76.14
(x + y) + z,x + (y + z),5000,0,10,20,3978,5000,79.56
(x + y) + z,x + (y + z),5000,0,10,50,3748,5000,74.96000000000001
(x + y) + z,x + (y + z),5000,0,10,100,3801,5000,76.02
(x + y) + z,x + (y + z),5000,0,10,10000,3799,5000,75.98
(x + y) + z,x + (y + z),5000,0,20,50,3783,5000,75.66000000000001
(x + y) + z,x + (y + z),5000,0,20,100,3748,5000,74.96000000000001
(x + y) + z,x + (y + z),5000,0,20,10000,3808,5000,76.16000000000001
(x + y) + z,x + (y + z),5000,0,50,100,3599,5000,71.98
(x + y) + z,x + (y + z),5000,0,50,10000,3764,5000,75.28
(x + y) + z,x + (y + z),5000,0,100,10000,3820,5000,76.4
(x + y) + z,x + (y + z),10000,0,-1,1,10000,10000,100.0
(x + y) + z,x + (y + z),10000,0,-1,5,8542,10000,85.42
(x + y) + z,x + (y + z),10000,0,-1,10,7815,10000,78.14999999999999
(x + y) + z,x + (y + z),10000,0,-1,20,7595,10000,75.94999999999999
(x + y) + z,x + (y + z),10000,0,-1,50,7435,10000,74.35000000000001
(x + y) + z,x + (y + z),10000,0,-1,100,7410,10000,74.1
(x + y) + z,x + (y + z),10000,0,-1,10000,7614,10000,76.14
(x + y) + z,x + (y + z),10000,0,0,1,8289,10000,82.89
(x + y) + z,x + (y + z),10000,0,0,5,7702,10000,77.02
(x + y) + z,x + (y + z),10000,0,0,10,7702,10000,77.02
(x + y) + z,x + (y + z),10000,0,0,20,7702,10000,77.02
(x + y) + z,x + (y + z),10000,0,0,50,7556,10000,75.56
(x + y) + z,x + (y + z),10000,0,0,100,7556,10000,75.56
(x + y) + z,x + (y + z),10000,0,0,10000,7570,10000,75.7
(x + y) + z,x + (y + z),10000,0,1,5,7988,10000,79.88
(x + y) + z,x + (y + z),10000,0,1,10,7701,10000,77.01
(x + y) + z,x + (y + z),10000,0,1,20,7634,10000,76.34
(x + y) + z,x + (y + z),10000,0,1,50,7496,10000,74.96000000000001
(x + y) + z,x + (y + z),10000,0,1,100,7517,10000,75.17
(x + y) + z,x + (y + z),10000,0,1,10000,7542,10000,75.42
(x + y) + z,x + (y + z),10000,0,10,20,7928,10000,79.28
(x + y) + z,x + (y + z),10000,0,10,50,7491,10000,74.91
(x + y) + z,x + (y + z),10000,0,10,100,7566,10000,75.66000000000001
(x + y) + z,x + (y + z),10000,0,10,10000,7592,10000,75.92
(x + y) + z,x + (y + z),10000,0,20,50,7541,10000,75.41
(x + y) + z,x + (y + z),10000,0,20,100,7491,10000,74.91
(x + y) + z,x + (y + z),10000,0,20,10000,7630,10000,76.3
(x + y) + z,x + (y + z),10000,0,50,100,7264,10000,72.64
(x + y) + z,x + (y + z),10000,0,50,10000,7560,10000,75.6
(x + y) + z,x + (y + z),10000,0,100,10000,7643,10000,76.42999999999999
(x + y) + z,x + (y + z),50000,0,-1,1,50000,50000,100.0
(x + y) + z,x + (y + z),50000,0,-1,5,42736,50000,85.47200000000001
(x + y) + z,x + (y + z),50000,0,-1,10,38942,50000,77.884
(x + y) + z,x + (y + z),50000,0,-1,20,38087,50000,76.17399999999999
(x + y) + z,x + (y + z),50000,0,-1,50,37372,50000,74.744
(x + y) + z,x + (y + z),50000,0,-1,100,37285,50000,74.57000000000001
(x + y) + z,x + (y + z),50000,0,-1,10000,37781,50000,75.562
(x + y) + z,x + (y + z),50000,0,0,1,41375,50000,82.75
(x + y) + z,x + (y + z),50000,0,0,5,38526,50000,77.05199999999999
(x + y) + z,x + (y + z),50000,0,0,10,38526,50000,77.05199999999999
(x + y) + z,x + (y + z),50000,0,0,20,38526,50000,77.05199999999999
(x + y) + z,x + (y + z),50000,0,0,50,37621,50000,75.242
(x + y) + z,x + (y + z),50000,0,0,100,37621,50000,75.242
(x + y) + z,x + (y + z),50000,0,0,10000,37694,50000,75.388
(x + y) + z,x + (y + z),50000,0,1,5,39935,50000,79.86999999999999
(x + y) + z,x + (y + z),50000,0,1,10,38660,50000,77.32
(x + y) + z,x + (y + z),50000,0,1,20,38078,50000,76.156
(x + y) + z,x + (y + z),50000,0,1,50,37628,50000,75.256
(x + y) + z,x + (y + z),50000,0,1,100,37352,50000,74.70400000000001
(x + y) + z,x + (y + z),50000,0,1,10000,37699,50000,75.398
(x + y) + z,x + (y + z),50000,0,10,20,39740,50000,79.47999999999999
(x + y) + z,x + (y + z),50000,0,10,50,38040,50000,76.08
(x + y) + z,x + (y + z),50000,0,10,100,37804,50000,75.608
(x + y) + z,x + (y + z),50000,0,10,10000,37772,50000,75.544
(x + y) + z,x + (y + z),50000,0,20,50,37803,50000,75.606
(x + y) + z,x + (y + z),50000,0,20,100,38040,50000,76.08
(x + y) + z,x + (y + z),50000,0,20,10000,37966,50000,75.932
(x + y) + z,x + (y + z),50000,0,50,100,36436,50000,72.872
(x + y) + z,x + (y + z),50000,0,50,10000,37723,50000,75.446
(x + y) + z,x + (y + z),50000,0,100,10000,37884,50000,75.768
(x + y) + z,x + (y + z),100000,0,-1,1,100000,100000,100.0
(x + y) + z,x + (y + z),100000,0,-1,5,85412,100000,85.412
(x + y) + z,x + (y + z),100000,0,-1,10,77742,100000,77.742
(x + y) + z,x + (y + z),100000,0,-1,20,76330,100000,76.33
(x + y) + z,x + (y + z),100000,0,-1,50,74990,100000,74.99
(x + y) + z,x + (y + z),100000,0,-1,100,74880,100000,74.88
(x + y) + z,x + (y + z),100000,0,-1,10000,75665,100000,75.665
(x + y) + z,x + (y + z),100000,0,0,1,82766,100000,82.76599999999999
(x + y) + z,x + (y + z),100000,0,0,5,77285,100000,77.285
(x + y) + z,x + (y + z),100000,0,0,10,77285,100000,77.285
(x + y) + z,x + (y + z),100000,0,0,20,77285,100000,77.285
(x + y) + z,x + (y + z),100000,0,0,50,75247,100000,75.247
(x + y) + z,x + (y + z),100000,0,0,100,75247,100000,75.247
(x + y) + z,x + (y + z),100000,0,0,10000,75446,100000,75.446
(x + y) + z,x + (y + z),100000,0,1,5,79675,100000,79.675
(x + y) + z,x + (y + z),100000,0,1,10,77421,100000,77.42099999999999
(x + y) + z,x + (y + z),100000,0,1,20,76318,100000,76.318
(x + y) + z,x + (y + z),100000,0,1,50,75215,100000,75.215
(x + y) + z,x + (y + z),100000,0,1,100,74732,100000,74.732
(x + y) + z,x + (y + z),100000,0,1,10000,75377,100000,75.37700000000001
(x + y) + z,x + (y + z),100000,0,10,20,79429,100000,79.429
(x + y) + z,x + (y + z),100000,0,10,50,76173,100000,76.173
(x + y) + z,x + (y + z),100000,0,10,100,75620,100000,75.62
(x + y) + z,x + (y + z),100000,0,10,10000,75577,100000,75.577
(x + y) + z,x + (y + z),100000,0,20,50,75561,100000,75.561
(x + y) + z,x + (y + z),100000,0,20,100,76173,100000,76.173
(x + y) + z,x + (y + z),100000,0,20,10000,76071,100000,76.071
(x + y) + z,x + (y + z),100000,0,50,100,72837,100000,72.83699999999999
(x + y) + z,x + (y + z),100000,0,50,10000,75379,100000,75.37899999999999
(x + y) + z,x + (y + z),100000,0,100,10000,75634,100000,75.634
(x + y) + z,x + (y + z),10,1,-1,1,10,10,100.0
(x + y) + z,x + (y + z),10,1,-1,5,9,10,90.0
(x + y) + z,x + (y + z),10,1,-1,10,6,10,60.0
(x + y) + z,x + (y + z),10,1,-1,20,7,10,70.0
(x + y) + z,x + (y + z),10,1,-1,50,6,10,60.0
(x + y) + z,x + (y + z),10,1,-1,100,5,10,50.0
(x + y) + z,x + (y + z),10,1,-1,10000,8,10,80.0
(x + y) + z,x + (y + z),10,1,0,1,8,10,80.0
(x + y) + z,x + (y + z),10,1,0,5,5,10,50.0
(x + y) + z,x + (y + z),10,1,0,10,5,10,50.0
(x + y) + z,x + (y + z),10,1,0,20,5,10,50.0
(x + y) + z,x + (y + z),10,1,0,50,8,10,80.0
(x + y) + z,x + (y + z),10,1,0,100,8,10,80.0
(x + y) + z,x + (y + z),10,1,0,10000,9,10,90.0
(x + y) + z,x + (y + z),10,1,1,5,8,10,80.0
(x + y) + z,x + (y + z),10,1,1,10,7,10,70.0
(x + y) + z,x + (y + z),10,1,1,20,8,10,80.0
(x + y) + z,x + (y + z),10,1,1,50,3,10,30.0
(x + y) + z,x + (y + z),10,1,1,100,7,10,70.0
(x + y) + z,x + (y + z),10,1,1,10000,8,10,80.0
(x + y) + z,x + (y + z),10,1,10,20,7,10,70.0
(x + y) + z,x + (y + z),10,1,10,50,8,10,80.0
(x + y) + z,x + (y + z),10,1,10,100,8,10,80.0
(x + y) + z,x + (y + z),10,1,10,10000,9,10,90.0
(x + y) + z,x + (y + z),10,1,20,50,9,10,90.0
(x + y) + z,x + (y + z),10,1,20,100,8,10,80.0
(x + y) + z,x + (y + z),10,1,20,10000,9,10,90.0
(x + y) + z,x + (y + z),10,1,50,100,6,10,60.0
(x + y) + z,x + (y + z),10,1,50,10000,9,10,90.0
(x + y) + z,x + (y + z),10,1,100,10000,5,10,50.0
(x + y) + z,x + (y + z),20,1,-1,1,20,20,100.0
(x + y) + z,x + (y + z),20,1,-1,5,15,20,75.0
(x + y) + z,x + (y + z),20,1,-1,10,13,20,65.0
(x + y) + z,x + (y + z),20,1,-1,20,13,20,65.0
(x + y) + z,x + (y + z),20,1,-1,50,12,20,60.0
(x + y) + z,x + (y + z),20,1,-1,100,13,20,65.0
(x + y) + z,x + (y + z),20,1,-1,10000,15,20,75.0
(x + y) + z,x + (y + z),20,1,0,1,16,20,80.0
(x + y) + z,x + (y + z),20,1,0,5,13,20,65.0
(x + y) + z,x + (y + z),20,1,0,10,13,20,65.0
(x + y) + z,x + (y + z),20,1,0,20,13,20,65.0
(x + y) + z,x + (y + z),20,1,0,50,13,20,65.0
(x + y) + z,x + (y + z),20,1,0,100,13,20,65.0
(x + y) + z,x + (y + z),20,1,0,10000,17,20,85.0
(x + y) + z,x + (y + z),20,1,1,5,17,20,85.0
(x + y) + z,x + (y + z),20,1,1,10,16,20,80.0
(x + y) + z,x + (y + z),20,1,1,20,17,20,85.0
(x + y) + z,x + (y + z),20,1,1,50,9,20,45.0
(x + y) + z,x + (y + z),20,1,1,100,15,20,75.0
(x + y) + z,x + (y + z),20,1,1,10000,15,20,75.0
(x + y) + z,x + (y + z),20,1,10,20,13,20,65.0
(x + y) + z,x + (y + z),20,1,10,50,16,20,80.0
(x + y) + z,x + (y + z),20,1,10,100,13,20,65.0
(x + y) + z,x + (y + z),20,1,10,10000,18,20,90.0
(x + y) + z,x + (y + z),20,1,20,50,17,20,85.0
(x + y) + z,x + (y + z),20,1,20,100,16,20,80.0
(x + y) + z,x + (y + z),20,1,20,10000,17,20,85.0
(x + y) + z,x + (y + z),20,1,50,100,15,20,75.0
(x + y) + z,x + (y + z),20,1,50,10000,14,20,70.0
(x + y) + z,x + (y + z),20,1,100,10000,13,20,65.0
(x + y) + z,x + (y + z),50,1,-1,1,50,50,100.0
(x + y) + z,x + (y + z),50,1,-1,5,41,50,82.0
(x + y) + z,x + (y + z),50,1,-1,10,37,50,74.0
(x + y) + z,x + (y + z),50,1,-1,20,39,50,78.0
(x + y) + z,x + (y + z),50,1,-1,50,36,50,72.0
(x + y) + z,x + (y + z),50,1,-1,100,34,50,68.0
(x + y) + z,x + (y + z),50,1,-1,10000,40,50,80.0
(x + y) + z,x + (y + z),50,1,0,1,43,50,86.0
(x + y) + z,x + (y + z),50,1,0,5,33,50,66.0
(x + y) + z,x + (y + z),50,1,0,10,33,50,66.0
(x + y) + z,x + (y + z),50,1,0,20,33,50,66.0
(x + y) + z,x + (y + z),50,1,0,50,31,50,62.0
(x + y) + z,x + (y + z),50,1,0,100,31,50,62.0
(x + y) + z,x + (y + z),50,1,0,10000,42,50,84.0
(x + y) + z,x + (y + z),50,1,1,5,39,50,78.0
(x + y) + z,x + (y + z),50,1,1,10,36,50,72.0
(x + y) + z,x + (y + z),50,1,1,20,41,50,82.0
(x + y) + z,x + (y + z),50,1,1,50,28,50,56.00000000000001
(x + y) + z,x + (y + z),50,1,1,100,36,50,72.0
(x + y) + z,x + (y + z),50,1,1,10000,39,50,78.0
(x + y) + z,x + (y + z),50,1,10,20,35,50,70.0
(x + y) + z,x + (y + z),50,1,10,50,44,50,88.0
(x + y) + z,x + (y + z),50,1,10,100,38,50,76.0
(x + y) + z,x + (y + z),50,1,10,10000,42,50,84.0
(x + y) + z,x + (y + z),50,1,20,50,41,50,82.0
(x + y) + z,x + (y + z),50,1,20,100,44,50,88.0
(x + y) + z,x + (y + z),50,1,20,10000,40,50,80.0
(x + y) + z,x + (y + z),50,1,50,100,39,50,78.0
(x + y) + z,x + (y + z),50,1,50,10000,35,50,70.0
(x + y) + z,x + (y + z),50,1,100,10000,36,50,72.0
(x + y) + z,x + (y + z),100,1,-1,1,100,100,100.0
